file_path,last_commit_hash,last_commit_date_iso,last_commit_subject
"games/single-player/space-invaders/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/spend-bill-gates-money/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/spend-bill-gates-money/spend-bill-gates.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/spend-bill-gates-money/spend-bill-gates.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/sudoku/game.css","4fa7e9b6289174c37648f68e6e0acec1d2064ed5","2026-04-23T16:34:03-04:00","Fix arcade UI issues and wire Pac-Man maze update"
"games/single-player/sudoku/game.js","4fa7e9b6289174c37648f68e6e0acec1d2064ed5","2026-04-23T16:34:03-04:00","Fix arcade UI issues and wire Pac-Man maze update"
"games/single-player/sudoku/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/tetris/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/tetris/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/tetris/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"games/single-player/the-deep-sea/game.css","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/the-deep-sea/game.js","caeabc35874fce43cacba1444985eaf803aec78c","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"games/single-player/the-deep-sea/index.html","d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
